Price,Close,High,Low,Open,Volume
Ticker,2379.TW,2379.TW,2379.TW,2379.TW,2379.TW
Date,,,,,
2023-01-03,250.8033447265625,251.67117636921495,242.9928599426903,244.72852322799523,1544291
2023-01-04,250.8033447265625,254.7085871184986,249.06768144125755,250.36942890523625,1371465
2023-01-05,250.8033447265625,255.57641876115105,249.5015972625838,251.67117636921495,1405162
2023-01-06,266.42431640625,266.42431640625,250.80334671467833,250.80334671467833,5054989
2023-01-09,278.573974609375,278.573974609375,269.02782594674846,273.8009002780617,6238877
2023-01-10,280.7435607910156,283.78097180421054,278.14006563684853,279.00789735490423,4348897
2023-01-11,280.30963134765625,282.0452946996541,276.8383046436605,280.7435471856557,2188614
2023-01-12,280.30963134765625,283.3470422136525,278.5739679956584,280.30963134765625,2151666
2023-01-13,275.53656005859375,288.98795117956445,274.66872837336985,284.64879275344487,4664534
2023-01-16,278.573974609375,281.17746969918227,276.83831121617015,278.573974609375,1456154
2023-01-17,274.6687316894531,280.3096377115114,273.3669841459012,279.0078901679595,2217092
2023-01-30,280.7435607910156,282.91314008615484,277.7061497778207,281.17747665004345,5394895
2023-01-31,277.70611572265625,280.30961055755614,275.10262088775636,279.0078631401062,3332318
2023-02-01,285.9505310058594,285.9505310058594,279.00787774926795,280.3096252348788,3334432
2023-02-02,301.1376037597656,301.1376037597656,289.4218756596018,289.4218756596018,5409266
2023-02-03,302.00543212890625,305.47675893498564,297.666273621307,302.00543212890625,3771368
2023-02-06,288.9879455566406,299.40192557669974,288.12011388830234,299.40192557669974,3302220
2023-02-07,289.85577392578125,292.0253530719323,286.3844472919395,288.9879422673208,2243736
2023-02-08,316.32464599609375,316.32464599609375,294.1949382515111,295.0627699277692,6944128
2023-02-09,313.7211608886719,315.89074014792965,310.24983407385946,314.15507674052344,3268081
2023-02-10,309.8158874511719,313.28721392121304,305.47672936362045,312.4193823037027,3033482
2023-02-13,299.40191650390625,306.3445696402287,297.23233739880544,305.4767379981884,3977196
2023-02-14,308.08026123046875,308.94809295224474,301.13760745626104,302.87327089981295,2812381
2023-02-15,306.77850341796875,311.9854935749923,303.3071766466197,305.9106717251315,3364851
2023-02-16,311.9855041503906,313.28725173377194,306.7785138168653,306.7785138168653,3805401
2023-02-17,311.9855041503906,313.72116759489904,308.51417726137373,308.51417726137373,2352876
2023-02-20,319.3620300292969,322.8333564426588,312.85329300424326,315.02287201259446,4449271
2023-02-21,321.5316467285156,328.04038451654225,320.2298991709103,321.0977308759805,5180626
2023-02-22,321.5316467285156,325.4368894013316,318.06031990823476,321.0977308759805,5178828
2023-02-23,331.9455871582031,342.7934821633732,326.3046817555147,328.0403449563419,8756791
2023-02-24,329.77606201171875,338.45437943307974,326.7386509142424,337.58654769094363,4098221
2023-03-01,328.908203125,330.20995063077174,322.8333814313984,325.4368764429419,2862993
2023-03-02,329.77606201171875,331.945641367059,323.701239816766,330.2099778827868,2485952
2023-03-03,329.3421325683594,334.11520695340806,328.0403850088007,332.3795435406631,1630047
2023-03-06,336.71868896484375,340.62393149149784,333.24736227448454,334.1151939470743,3937348
2023-03-07,336.2847595214844,338.45433861517137,331.9456013341104,338.45433861517137,1830218
2023-03-08,335.850830078125,336.71866168039406,329.7760088622416,331.94558786791424,1679281
2023-03-09,338.8882751464844,341.92568606329024,337.15261176545243,337.58652761071045,2914299
